Name;Type (spreadsheet, plain or custom_api);Data freshness (realtime, 1h, 4h, 12h or 1d);Value (if type is plain);Spreadsheet ID (if type is spreadsheet);Cell (if type is spreadsheet);Filter value (if type is spreadsheet);Comparison value (if type is spreadsheet);Endpoint (if type is custom_api);Tree (if type is custom_api)
EXTERNAL_FIELD_NIBC_Q21_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BH:BH;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q21_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BI:BI;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q21_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BJ:BJ;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q22_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BK:BK;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q22_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BL:BL;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q22_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BM:BM;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q23_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BN:BN;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q23_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BO:BO;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q23_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BP:BP;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q24_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BQ:BQ;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q24_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BR:BR;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q24_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BS:BS;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q25_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BT:BT;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q25_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BU:BU;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q25_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BV:BV;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q26_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BW:BW;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q26_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BX:BX;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q26_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BY:BY;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q27_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BZ:BZ;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q27_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CA:CA;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q27_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CB:CB;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q28_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CC:CC;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q28_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CD:CD;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q28_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CE:CE;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q29_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CF:CF;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q29_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CG:CG;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q29_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CH:CH;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q30_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CI:CI;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q30_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CJ:CJ;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q30_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CK:CK;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q31_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CL:CL;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q31_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CM:CM;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q31_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!CN:CN;*|intro_field2_response|*;;;
